hh_id,username,completed_time,hh_id__1,gender,age,lived_movedin,movedin_month,movedin_bc_hurricane,status,missing_month,left_month,left_b_p_hurricane,left_bc_hurricane,left_first,left_final,hh_mem_num
4,CENSORED,NA,0,0,42,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
4,CENSORED,NA,1,1,52,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
5,CENSORED,NA,0,1,82,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
5,CENSORED,NA,1,0,75,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
5,CENSORED,NA,2,1,49,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
6,CENSORED,NA,0,0,74,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
6,CENSORED,NA,1,1,81,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2
7,CENSORED,NA,0,1,64,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
7,CENSORED,NA,1,0,65,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
7,CENSORED,NA,2,1,66,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
8,CENSORED,NA,0,0,65,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
9,CENSORED,NA,0,0,59,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
9,CENSORED,NA,1,1,72,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
9,CENSORED,NA,2,1,32,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
10,CENSORED,NA,0,1,71,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
10,CENSORED,NA,1,0,50,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
10,CENSORED,NA,2,1,31,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
11,CENSORED,NA,0,0,75,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
11,CENSORED,NA,1,1,52,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
11,CENSORED,NA,2,1,47,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
11,CENSORED,NA,3,0,36,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
11,CENSORED,NA,4,1,24,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5
11,CENSORED,NA,5,0,18,1,NA,NA,3,NA,10,NA,NA,2,2,6
12,CENSORED,NA,0,0,59,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
12,CENSORED,NA,1,0,27,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
12,CENSORED,NA,2,0,28,2,3,0,3,NA,11,NA,1,3,3,3
13,CENSORED,NA,0,1,42,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
13,CENSORED,NA,1,0,42,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
13,CENSORED,NA,2,0,23,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
13,CENSORED,NA,3,0,19,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
14,CENSORED,NA,0,1,80,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
14,CENSORED,NA,1,0,78,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
15,CENSORED,NA,0,1,65,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
15,CENSORED,NA,1,0,69,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
15,CENSORED,NA,2,1,43,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
16,CENSORED,NA,0,1,50,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
17,CENSORED,NA,0,1,61,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
17,CENSORED,NA,1,0,61,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
18,CENSORED,NA,0,0,24,2,12,1,1,NA,NA,NA,0,NA,NA,1
18,CENSORED,NA,1,0,22,2,12,1,1,NA,NA,NA,0,NA,NA,2
18,CENSORED,NA,2,1,23,2,12,0,1,NA,NA,NA,0,NA,NA,3
18,CENSORED,NA,3,1,4,2,12,1,1,NA,NA,NA,0,NA,NA,4
18,CENSORED,NA,4,1,5,2,12,1,1,NA,NA,NA,0,NA,NA,5
19,CENSORED,NA,0,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
19,CENSORED,NA,1,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
19,CENSORED,NA,2,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
19,CENSORED,NA,3,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
19,CENSORED,NA,4,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5
19,CENSORED,NA,5,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,6
22,CENSORED,NA,0,0,29,1,NA,NA,3,NA,11,NA,NA,5,5,1
22,CENSORED,NA,1,1,86,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
22,CENSORED,NA,2,1,57,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
22,CENSORED,NA,3,0,63,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
23,CENSORED,NA,0,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
23,CENSORED,NA,1,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
23,CENSORED,NA,2,0,39,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
23,CENSORED,NA,3,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
23,CENSORED,NA,4,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5
23,CENSORED,NA,5,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,6
23,CENSORED,NA,6,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,7
24,CENSORED,NA,0,1,76,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
24,CENSORED,NA,1,0,66,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2
25,CENSORED,NA,0,1,37,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
25,CENSORED,NA,1,0,34,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
25,CENSORED,NA,2,1,11,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
25,CENSORED,NA,3,1,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
26,CENSORED,NA,0,1,74,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
